1:ItNr	2:Metric	2:Metric0	2:Metric1	3:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Metric-LC	Metric-OC	Metric-PC	Time0[ms]	Time1[ms]	Time[ms]	||Gradient-LC||	||Gradient-OC||	||Gradient-PC||
68	-0.411167	-0.824942	0.002608	0.250000	0.000138	0.000107	0.000062	0.0000000831	0.0011219437	0.0000280980	12009.6	32.0	12041.7	0.0000069511	0.0000702249	0.0000513957
69	-0.411179	-0.824956	0.002597	0.250000	0.000147	0.000106	0.000062	0.0000000830	0.0011166241	0.0000281013	12166.8	76.3	12243.3	0.0000069475	0.0000699821	0.0000513980
70	-0.411188	-0.824965	0.002589	0.250000	0.000138	0.000106	0.000062	0.0000000829	0.0011126621	0.0000280825	12018.3	76.7	12095.3	0.0000069433	0.0000698206	0.0000513301
71	-0.411200	-0.824979	0.002578	0.250000	0.000146	0.000106	0.000062	0.0000000827	0.0011074120	0.0000280828	11997.7	66.5	12064.4	0.0000069395	0.0000695829	0.0000513287
72	-0.411209	-0.824987	0.002570	0.250000	0.000138	0.000106	0.000062	0.0000000826	0.0011034621	0.0000280522	11888.9	62.8	11951.9	0.0000069352	0.0000694159	0.0000512450
73	-0.411219	-0.824998	0.002560	0.250000	0.000147	0.000106	0.000062	0.0000000825	0.0010982707	0.0000280484	11892.3	62.1	11954.5	0.0000069314	0.0000691808	0.0000512363
74	-0.411228	-0.825007	0.002551	0.250000	0.000139	0.000105	0.000063	0.0000000824	0.0010944093	0.0000280157	11887.1	77.2	11964.6	0.0000069272	0.0000690173	0.0000511497
75	-0.411239	-0.825018	0.002541	0.250000	0.000148	0.000105	0.000063	0.0000000823	0.0010893335	0.0000280107	11919.9	66.6	11986.7	0.0000069233	0.0000687910	0.0000511415
76	-0.411246	-0.825026	0.002533	0.125000	0.000139	0.000105	0.000063	0.0000000822	0.0010855756	0.0000279762	12003.3	62.6	12066.0	0.0000069193	0.0000686297	0.0000510503
77	-0.411253	-0.825035	0.002528	0.125000	0.000113	0.000105	0.000044	0.0000000821	0.0010830558	0.0000279714	11998.1	74.8	12073.0	0.0000069175	0.0000685182	0.0000510447
78	-0.411260	-0.825042	0.002522	0.125000	0.000114	0.000105	0.000045	0.0000000821	0.0010799595	0.0000279576	11899.6	77.5	11977.4	0.0000069150	0.0000683838	0.0000510114
79	-0.411267	-0.825049	0.002515	0.125000	0.000115	0.000105	0.000044	0.0000000820	0.0010769278	0.0000279500	11941.7	76.2	12018.2	0.0000069130	0.0000682552	0.0000509894
80	-0.411273	-0.825056	0.002509	0.125000	0.000114	0.000104	0.000044	0.0000000820	0.0010739551	0.0000279500	11864.1	77.8	11942.2	0.0000069113	0.0000681323	0.0000509773
81	-0.411280	-0.825063	0.002503	0.125000	0.000115	0.000104	0.000044	0.0000000819	0.0010709706	0.0000279494	12026.1	30.1	12056.4	0.0000069097	0.0000680092	0.0000509644
82	-0.411286	-0.825069	0.002497	0.125000	0.000115	0.000104	0.000044	0.0000000819	0.0010680187	0.0000279512	11803.1	67.9	11871.1	0.0000069083	0.0000678884	0.0000509536
83	-0.411292	-0.825075	0.002492	0.125000	0.000115	0.000104	0.000044	0.0000000818	0.0010650935	0.0000279548	11914.1	48.0	11962.4	0.0000069071	0.0000677700	0.0000509456
84	-0.411299	-0.825083	0.002486	0.125000	0.000116	0.000104	0.000044	0.0000000818	0.0010621947	0.0000279618	12024.1	31.4	12055.7	0.0000069061	0.0000676543	0.0000509412
85	-0.411305	-0.825090	0.002480	0.125000	0.000115	0.000104	0.000043	0.0000000818	0.0010593138	0.0000279715	11970.4	31.0	12001.5	0.0000069053	0.0000675402	0.0000509405
